      1        2         3       4       5     6     7    8    9    10    11   12  13   14    15    16    17   18    19    20
    Date      Time      Lat     Lon     Dep    ML    MC   N   Dmin  ehz   ehr  tag NSg  MwSg  fcSg  aicS  NPg  MwPg  fcPg  aicP
2012-12-06 10:38:25.53 39.654 -111.215 -3.21  1.17  1.65  13   2.0  0.60  0.50 mis   4  1.70  2.00  -89.3   2  2.02  2.61  -78.9
2012-12-06 22:26:53.34 40.586 -109.554 -2.00  2.23  2.45   5   2.0  0.00  0.00  ex   2  2.11  1.60 -114.5   1  2.63  1.97  -89.2
2012-12-07 21:03:55.45 38.121 -109.117 -2.00 -9.99 -9.99   5  13.0  0.00  0.00  ex   1  1.72  1.88  -98.6   1  1.67  6.55  -95.1
2012-12-08 08:44:06.24 37.185 -113.874 14.34 -9.99  1.01   9   6.0  0.60  1.40  eq   6  1.94  7.19 -145.8   2  2.16 27.29  -97.0
2012-12-08 23:28:16.03 40.494 -112.177 -2.00 -9.99  1.87   6   7.0  0.00  0.00  ex   0  0.00  0.00    0.0   0  0.00  0.00    0.0
2012-12-09 02:47:01.59 37.104 -112.866 20.04 -9.99  1.16  13  10.0  0.80  0.50  eq   5  1.78 15.14 -139.0   2  2.12 34.38 -150.6
2012-12-09 06:49:59.83 40.709 -111.419 11.65 -9.99  0.80  15   9.0  1.40  0.40  eq   3  1.72  7.18 -120.2   0  0.00  0.00    0.0
2012-12-09 16:37:57.09 40.535 -112.171 -2.00  1.79  1.85  17   7.0  0.00  0.00  ex   6  2.14  1.85  -95.4   7  2.10  8.38  -67.7
2012-12-11 19:15:40.29 38.868 -111.441 21.09  1.52  1.19  13  10.0  1.00  0.60  eq   5  1.97  8.68 -119.7   3  2.29 20.75 -107.4
2012-12-12 20:23:43.38 40.828 -111.900 -2.00  1.03  1.45   8   4.0  0.00  0.00  ex   1  1.53 52.31 -116.4   0  0.00  0.00    0.0
2012-12-12 21:00:32.85 38.131 -109.115 -2.00 -9.99 -9.99   5  13.0  0.00  0.00  ex   1  1.72  2.97  -40.0   0  0.00  0.00    0.0
2012-12-12 23:40:38.22 40.008 -111.799 -2.00  0.89  1.53   5   8.0  0.00  0.00  ex   1  1.39  3.16 -121.5   0  0.00  0.00    0.0
2012-12-13 00:24:56.01 42.168 -112.546  6.35  2.23  2.06  20   3.0  0.20  0.50  eq  17  2.65  3.04 -113.9  16  2.71  4.76 -110.8
2012-12-13 01:57:50.84 41.534 -111.689 13.73 -9.99  0.65  12  17.0  0.80  0.40  eq   4  1.88  3.06 -102.9   1  2.03  3.92  -86.9
2012-12-14 17:33:15.46 39.189 -111.921 19.01 -9.99  0.75   7  24.0  1.70  1.20  eq   0  0.00  0.00    0.0   0  0.00  0.00    0.0
